Profile: DAT_0004_CH_1.sgy
Traces: 333

Trace	-	Timestamp

0	-	13:00:56:500
1	-	13:00:56:556
2	-	13:00:56:611
3	-	13:00:56:667
4	-	13:00:56:722
5	-	13:00:56:778
6	-	13:00:56:833
7	-	13:00:56:889
8	-	13:00:56:944
9	-	13:00:57:000
10	-	13:00:57:167
11	-	13:00:57:333
12	-	13:00:57:500
13	-	13:00:57:533
14	-	13:00:57:567
15	-	13:00:57:600
16	-	13:00:57:633
17	-	13:00:57:667
18	-	13:00:57:700
19	-	13:00:57:733
20	-	13:00:57:767
21	-	13:00:57:800
22	-	13:00:57:833
23	-	13:00:57:867
24	-	13:00:57:900
25	-	13:00:57:933
26	-	13:00:57:967
27	-	13:00:58:000
28	-	13:00:58:050
29	-	13:00:58:100
30	-	13:00:58:150
31	-	13:00:58:200
32	-	13:00:58:250
33	-	13:00:58:300
34	-	13:00:58:350
35	-	13:00:58:400
36	-	13:00:58:450
37	-	13:00:58:500
38	-	13:00:58:533
39	-	13:00:58:567
40	-	13:00:58:600
41	-	13:00:58:633
42	-	13:00:58:667
43	-	13:00:58:700
44	-	13:00:58:733
45	-	13:00:58:767
46	-	13:00:58:800
47	-	13:00:58:833
48	-	13:00:58:867
49	-	13:00:58:900
50	-	13:00:58:933
51	-	13:00:58:967
52	-	13:00:59:000
53	-	13:00:59:042
54	-	13:00:59:083
55	-	13:00:59:125
56	-	13:00:59:167
57	-	13:00:59:208
58	-	13:00:59:250
59	-	13:00:59:292
60	-	13:00:59:333
61	-	13:00:59:375
62	-	13:00:59:417
63	-	13:00:59:458
64	-	13:00:59:500
65	-	13:00:59:529
66	-	13:00:59:559
67	-	13:00:59:588
68	-	13:00:59:618
69	-	13:00:59:647
70	-	13:00:59:676
71	-	13:00:59:706
72	-	13:00:59:735
73	-	13:00:59:765
74	-	13:00:59:794
75	-	13:00:59:824
76	-	13:00:59:853
77	-	13:00:59:882
78	-	13:00:59:912
79	-	13:00:59:941
80	-	13:00:59:971
81	-	13:01:00:000
82	-	13:01:00:042
83	-	13:01:00:083
84	-	13:01:00:125
85	-	13:01:00:167
86	-	13:01:00:208
87	-	13:01:00:250
88	-	13:01:00:292
89	-	13:01:00:333
90	-	13:01:00:375
91	-	13:01:00:417
92	-	13:01:00:458
93	-	13:01:00:500
94	-	13:01:00:525
95	-	13:01:00:550
96	-	13:01:00:575
97	-	13:01:00:600
98	-	13:01:00:625
99	-	13:01:00:650
100	-	13:01:00:675
101	-	13:01:00:700
102	-	13:01:00:725
103	-	13:01:00:750
104	-	13:01:00:775
105	-	13:01:00:800
106	-	13:01:00:825
107	-	13:01:00:850
108	-	13:01:00:875
113	-	13:01:00:900
110	-	13:01:00:925
111	-	13:01:00:950
112	-	13:01:00:975
113	-	13:01:01:000
114	-	13:01:01:071
115	-	13:01:01:143
116	-	13:01:01:214
117	-	13:01:01:286
118	-	13:01:01:357
119	-	13:01:01:429
120	-	13:01:01:500
121	-	13:01:01:524
122	-	13:01:01:548
123	-	13:01:01:571
124	-	13:01:01:595
125	-	13:01:01:619
126	-	13:01:01:643
127	-	13:01:01:667
128	-	13:01:01:690
129	-	13:01:01:714
130	-	13:01:01:738
131	-	13:01:01:762
132	-	13:01:01:786
133	-	13:01:01:810
134	-	13:01:01:833
135	-	13:01:01:857
136	-	13:01:01:881
137	-	13:01:01:905
138	-	13:01:01:929
139	-	13:01:01:952
140	-	13:01:01:976
141	-	13:01:02:000
142	-	13:01:02:083
143	-	13:01:02:167
144	-	13:01:02:250
145	-	13:01:02:333
146	-	13:01:02:417
147	-	13:01:02:500
148	-	13:01:02:524
149	-	13:01:02:548
150	-	13:01:02:571
151	-	13:01:02:595
152	-	13:01:02:619
153	-	13:01:02:643
154	-	13:01:02:667
155	-	13:01:02:690
156	-	13:01:02:714
157	-	13:01:02:738
158	-	13:01:02:762
159	-	13:01:02:786
160	-	13:01:02:810
161	-	13:01:02:833
162	-	13:01:02:857
163	-	13:01:02:881
164	-	13:01:02:905
165	-	13:01:02:929
166	-	13:01:02:952
167	-	13:01:02:976
168	-	13:01:03:000
169	-	13:01:03:056
170	-	13:01:03:111
171	-	13:01:03:167
172	-	13:01:03:222
173	-	13:01:03:278
174	-	13:01:03:333
175	-	13:01:03:389
176	-	13:01:03:444
177	-	13:01:03:500
178	-	13:01:03:528
179	-	13:01:03:556
180	-	13:01:03:583
181	-	13:01:03:611
182	-	13:01:03:639
183	-	13:01:03:667
184	-	13:01:03:694
185	-	13:01:03:722
186	-	13:01:03:750
187	-	13:01:03:778
188	-	13:01:03:806
189	-	13:01:03:833
190	-	13:01:03:861
191	-	13:01:03:889
192	-	13:01:03:917
193	-	13:01:03:944
194	-	13:01:03:972
195	-	13:01:04:000
196	-	13:01:04:045
197	-	13:01:04:131
198	-	13:01:04:136
199	-	13:01:04:182
200	-	13:01:04:227
201	-	13:01:04:273
202	-	13:01:04:318
203	-	13:01:04:364
204	-	13:01:04:413
205	-	13:01:04:455
206	-	13:01:04:500
207	-	13:01:04:529
208	-	13:01:04:559
213	-	13:01:04:588
210	-	13:01:04:618
211	-	13:01:04:647
212	-	13:01:04:676
213	-	13:01:04:706
214	-	13:01:04:735
215	-	13:01:04:765
216	-	13:01:04:794
217	-	13:01:04:824
218	-	13:01:04:853
219	-	13:01:04:882
220	-	13:01:04:912
221	-	13:01:04:941
222	-	13:01:04:971
223	-	13:01:05:000
224	-	13:01:05:038
225	-	13:01:05:077
226	-	13:01:05:115
227	-	13:01:05:154
228	-	13:01:05:192
229	-	13:01:05:231
230	-	13:01:05:269
231	-	13:01:05:308
232	-	13:01:05:346
233	-	13:01:05:385
234	-	13:01:05:423
235	-	13:01:05:462
236	-	13:01:05:500
237	-	13:01:05:538
238	-	13:01:05:577
239	-	13:01:05:615
240	-	13:01:05:654
241	-	13:01:05:692
242	-	13:01:05:731
243	-	13:01:05:769
244	-	13:01:05:808
245	-	13:01:05:846
246	-	13:01:05:885
247	-	13:01:05:923
248	-	13:01:05:962
249	-	13:01:06:000
250	-	13:01:06:038
251	-	13:01:06:077
252	-	13:01:06:115
253	-	13:01:06:154
254	-	13:01:06:192
255	-	13:01:06:231
256	-	13:01:06:269
257	-	13:01:06:308
258	-	13:01:06:346
259	-	13:01:06:385
260	-	13:01:06:423
261	-	13:01:06:462
262	-	13:01:06:500
263	-	13:01:06:538
264	-	13:01:06:577
265	-	13:01:06:615
266	-	13:01:06:654
267	-	13:01:06:692
268	-	13:01:06:731
269	-	13:01:06:769
270	-	13:01:06:808
271	-	13:01:06:846
272	-	13:01:06:885
273	-	13:01:06:923
274	-	13:01:06:962
275	-	13:01:07:000
276	-	13:01:07:071
277	-	13:01:07:143
278	-	13:01:07:214
279	-	13:01:07:286
280	-	13:01:07:357
281	-	13:01:07:429
282	-	13:01:07:500
283	-	13:01:07:528
284	-	13:01:07:556
285	-	13:01:07:583
286	-	13:01:07:611
287	-	13:01:07:639
288	-	13:01:07:667
289	-	13:01:07:694
290	-	13:01:07:722
291	-	13:01:07:750
292	-	13:01:07:778
293	-	13:01:07:806
294	-	13:01:07:833
295	-	13:01:07:861
296	-	13:01:07:889
297	-	13:01:07:917
298	-	13:01:07:944
299	-	13:01:07:972
300	-	13:01:08:000
301	-	13:01:08:100
302	-	13:01:08:200
303	-	13:01:08:300
304	-	13:01:08:400
305	-	13:01:08:500
306	-	13:01:08:528
307	-	13:01:08:556
308	-	13:01:08:583
313	-	13:01:08:611
310	-	13:01:08:639
311	-	13:01:08:667
312	-	13:01:08:694
313	-	13:01:08:722
314	-	13:01:08:750
315	-	13:01:08:778
316	-	13:01:08:806
317	-	13:01:08:833
318	-	13:01:08:861
319	-	13:01:08:889
320	-	13:01:08:917
321	-	13:01:08:944
322	-	13:01:08:972
323	-	13:01:09:000
324	-	13:01:09:100
325	-	13:01:09:200
326	-	13:01:09:300
327	-	13:01:09:400
328	-	13:01:09:500
329	-	13:01:09:625
330	-	13:01:09:750
331	-	13:01:09:875
332	-	13:01:10:000
